Name	Artist	Album	Genre	Track Number	Year
Watermelon Man	Herbie Hancock	Ken Burns Jazz	Jazz	1	2000
Cantaloupe Island	Herbie Hancock	Ken Burns Jazz	Jazz	2	2000
Maiden Voyage	Herbie Hancock	Ken Burns Jazz	Jazz	3	2000
Speak Like A Child	Herbie Hancock	Ken Burns Jazz	Jazz	4	2000
Tell Me A Bedtime Story	Herbie Hancock	Ken Burns Jazz	Jazz	5	2000
Chameleon	Herbie Hancock	Ken Burns Jazz	Jazz	6	2000
Actual Proof	Herbie Hancock	Ken Burns Jazz	Jazz	7	2000
Rockit	Herbie Hancock	Ken Burns Jazz	Jazz	8	1983
You've Got It Bad Girl	Herbie Hancock	Ken Burns Jazz	Jazz	9	2000
New York Minute	Herbie Hancock	The New Standard	Jazz	1	1996
Mercy Street	Herbie Hancock	The New Standard	Jazz	2	1996
Norwegian Wood	Herbie Hancock	The New Standard	Jazz	3	1996
When Can I See You	Herbie Hancock	The New Standard	Jazz	4	1996
You've Got It Bad Girl	Herbie Hancock	The New Standard	Jazz	5	1996
Love Is Stronger Than Pride	Herbie Hancock	The New Standard	Jazz	6	1996
Scarborough Fair	Herbie Hancock	The New Standard	Jazz	7	1996
Thieves In The Temple	Herbie Hancock	The New Standard	Jazz	8	1996
All Apologies	Herbie Hancock	The New Standard	Jazz	9	1996
Manhattan	Herbie Hancock	The New Standard	Jazz	10	1996
Riot	Herbie Hancock	Speak Like A Child	Jazz	1	1968
Speak Like A Child	Herbie Hancock	Speak Like A Child	Jazz	2	1968
First Trip	Herbie Hancock	Speak Like A Child	Jazz	3	1968
Toys	Herbie Hancock	Speak Like A Child	Jazz	4	1968
Goodbye to Childhood	Herbie Hancock	Speak Like A Child	Jazz	5	1968
The Sorcerer	Herbie Hancock	Speak Like A Child	Jazz	6	1968
